epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,692.156,2.18756,4.30389,1.22841,0.03612,0.21014,0.05866,0.0329,2.09085,3.82668,1.07579,0.000194202,0.000194202,0.000194202
2,774.139,2.14098,3.50759,1.11188,0.42351,0.10787,0.09706,0.05302,2.07856,2.85362,1.07939,0.000387627,0.000387627,0.000387627
3,949.286,2.17713,2.84845,1.09927,0.65048,0.12428,0.11282,0.0656,1.99212,2.23096,1.072,0.000578464,0.000578464,0.000578464
4,1084.67,2.11155,2.45201,1.08917,0.57269,0.15428,0.11638,0.06654,1.96136,2.01213,1.06138,0.000576358,0.000576358,0.000576358
5,1269.09,2.0548,2.19709,1.07591,0.28295,0.18708,0.15283,0.09008,1.90581,1.87441,1.07014,0.000572477,0.000572477,0.000572477
6,1423.9,1.99587,2.06276,1.06458,0.48437,0.22202,0.16591,0.10006,1.83757,1.81598,1.04989,0.000568596,0.000568596,0.000568596
7,1506.61,1.94826,1.95647,1.05346,0.4604,0.2491,0.19712,0.1242,1.8119,1.72143,1.03872,0.000564715,0.000564715,0.000564715
8,1659.55,1.91568,1.89898,1.05047,0.41223,0.27142,0.20661,0.13041,1.83947,1.69789,1.03457,0.000560834,0.000560834,0.000560834
9,1697.54,1.90858,1.83991,1.03697,0.49821,0.30515,0.25002,0.15996,1.79024,1.63285,1.03243,0.000556954,0.000556954,0.000556954
10,1749.19,1.89741,1.80273,1.03642,0.52201,0.30345,0.27585,0.18011,1.75256,1.58626,1.01803,0.000553073,0.000553073,0.000553073
11,1782.71,1.86529,1.7244,1.02795,0.53721,0.31069,0.2899,0.19006,1.76842,1.5687,1.02118,0.000549192,0.000549192,0.000549192
12,1811.36,1.84702,1.70976,1.02515,0.60316,0.32275,0.31129,0.20731,1.74675,1.513,1.01201,0.000545311,0.000545311,0.000545311
13,1858.7,1.81534,1.66785,1.01948,0.56288,0.3256,0.32119,0.21361,1.69577,1.47937,1.00921,0.00054143,0.00054143,0.00054143
14,1888.66,1.80112,1.63106,1.01883,0.48223,0.35214,0.33969,0.22168,1.70726,1.48654,1.00526,0.00053755,0.00053755,0.00053755
15,1930.13,1.83808,1.62514,1.02322,0.57783,0.35294,0.35047,0.22649,1.69532,1.47492,1.01017,0.000533669,0.000533669,0.000533669
16,1973.95,1.821,1.60061,1.01417,0.68132,0.35541,0.36968,0.24551,1.6868,1.44269,0.99806,0.000529788,0.000529788,0.000529788
17,2008.16,1.75578,1.55788,1.01674,0.58067,0.35253,0.38876,0.26088,1.6716,1.41584,0.99998,0.000525907,0.000525907,0.000525907
18,2041.77,1.75725,1.54829,1.00674,0.67694,0.33939,0.38429,0.25522,1.65643,1.41046,0.99865,0.000522026,0.000522026,0.000522026
19,2082.18,1.77045,1.49083,1.00301,0.60669,0.373,0.4045,0.27199,1.65627,1.37464,0.99416,0.000518146,0.000518146,0.000518146
20,2121.6,1.74814,1.49812,1.00627,0.76787,0.35929,0.42952,0.28508,1.63701,1.3475,0.99519,0.000514265,0.000514265,0.000514265
21,2154.96,1.72173,1.4683,1.00573,0.4769,0.41144,0.43173,0.28155,1.73582,1.38493,1.01782,0.000510384,0.000510384,0.000510384
22,2241.77,1.78211,1.47149,1.00324,0.60113,0.39128,0.44098,0.29883,1.71545,1.32057,1.00986,0.000506503,0.000506503,0.000506503
23,2297.07,1.74293,1.46529,0.99801,0.58942,0.42323,0.46501,0.31792,1.60932,1.30971,0.99205,0.000502622,0.000502622,0.000502622
24,2346.22,1.71116,1.43901,0.98897,0.76235,0.40932,0.48019,0.3297,1.62036,1.29388,0.98682,0.000498742,0.000498742,0.000498742
25,2385.64,1.68445,1.39631,0.99199,0.71129,0.41476,0.47101,0.3187,1.63103,1.28258,0.99027,0.000494861,0.000494861,0.000494861
26,2446.37,1.69774,1.41093,0.99342,0.52852,0.42697,0.46612,0.31561,1.64105,1.30745,0.98986,0.00049098,0.00049098,0.00049098
27,2490.45,1.68708,1.37992,0.98631,0.65985,0.45113,0.48047,0.32326,1.61154,1.27528,0.98515,0.000487099,0.000487099,0.000487099
28,2600.05,1.72203,1.37796,0.99222,0.55315,0.47146,0.49616,0.33792,1.60225,1.25796,0.97899,0.000483218,0.000483218,0.000483218
29,2700.78,1.6851,1.34733,0.98571,0.64769,0.47409,0.51602,0.34702,1.59276,1.24413,0.98138,0.000479338,0.000479338,0.000479338
30,2760.78,1.67522,1.35165,0.98361,0.5899,0.48811,0.52437,0.35882,1.58484,1.2289,0.97563,0.000475457,0.000475457,0.000475457
31,2811.13,1.67291,1.33638,0.97609,0.60599,0.4972,0.54017,0.37571,1.56792,1.19177,0.97401,0.000471576,0.000471576,0.000471576
32,2918.6,1.68961,1.31249,0.98499,0.56548,0.52597,0.54517,0.36897,1.5874,1.2095,0.97881,0.000467695,0.000467695,0.000467695
33,2952.49,1.64957,1.29792,0.97847,0.55322,0.52871,0.5374,0.36227,1.62532,1.23173,0.98328,0.000463814,0.000463814,0.000463814
34,2998.64,1.65817,1.29703,0.97705,0.59796,0.5456,0.56879,0.39767,1.58699,1.17974,0.97818,0.000459934,0.000459934,0.000459934
35,3037.34,1.63873,1.29393,0.97713,0.58827,0.52912,0.56681,0.3885,1.57991,1.18246,0.97561,0.000456053,0.000456053,0.000456053
36,3081.73,1.62159,1.26152,0.97408,0.60905,0.55765,0.5844,0.40193,1.56269,1.15886,0.97258,0.000452172,0.000452172,0.000452172
37,3143.15,1.61711,1.23695,0.9676,0.56388,0.54871,0.57029,0.38958,1.59893,1.17452,0.97993,0.000448291,0.000448291,0.000448291
38,3171.69,1.63993,1.2553,0.97563,0.59664,0.54971,0.57123,0.3968,1.57459,1.16717,0.97322,0.00044441,0.00044441,0.00044441
39,3199.86,1.65218,1.25569,0.97129,0.66056,0.52499,0.57269,0.39964,1.57904,1.16377,0.97026,0.00044053,0.00044053,0.00044053
40,3227.9,1.63471,1.25905,0.97108,0.63313,0.57201,0.60634,0.42296,1.5633,1.14254,0.97037,0.000436649,0.000436649,0.000436649
41,3272.02,1.62029,1.23417,0.96488,0.68314,0.54848,0.60216,0.42175,1.5417,1.12123,0.96724,0.000432768,0.000432768,0.000432768
42,3302.55,1.60814,1.21519,0.96839,0.64389,0.56857,0.59647,0.41263,1.56453,1.13656,0.96982,0.000428887,0.000428887,0.000428887
43,3370.88,1.59274,1.18513,0.96607,0.61317,0.57048,0.60589,0.42805,1.52809,1.10808,0.96316,0.000425006,0.000425006,0.000425006
44,3426.3,1.60625,1.20822,0.96309,0.63211,0.60401,0.62801,0.44034,1.54576,1.1031,0.96643,0.000421126,0.000421126,0.000421126
45,3598.24,1.61101,1.19478,0.96122,0.7433,0.57003,0.63132,0.44292,1.52905,1.099,0.96293,0.000417245,0.000417245,0.000417245
46,3626.9,1.59365,1.16712,0.95761,0.65381,0.59452,0.62653,0.43149,1.55322,1.08726,0.96542,0.000413364,0.000413364,0.000413364
47,3704.45,1.60193,1.17546,0.95842,0.67428,0.58648,0.62424,0.43866,1.53904,1.09368,0.9624,0.000409483,0.000409483,0.000409483
48,3759.64,1.57817,1.15906,0.95895,0.70208,0.59067,0.64353,0.45429,1.51253,1.06323,0.95946,0.000405602,0.000405602,0.000405602
49,3806.75,1.56365,1.1369,0.95684,0.70368,0.58654,0.64387,0.45465,1.50476,1.06283,0.95827,0.000401722,0.000401722,0.000401722
