epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8788,2.1893,4.39273,1.25819,0.01636,0.14578,0.03178,0.01784,2.09367,inf,1.09684,0.000190235,0.000190235,0.000190235
2,54.9817,2.08104,3.69464,1.10736,0.05415,0.19903,0.07692,0.04376,1.96237,inf,1.07091,0.000384111,0.000384111,0.000384111
3,68.1499,2.10288,3.03417,1.09663,0.07703,0.20648,0.10974,0.06062,2.01366,inf,1.06708,0.000575831,0.000575831,0.000575831
4,82.2333,2.08967,2.54261,1.08969,0.68744,0.14816,0.1229,0.0686,1.96902,2.18281,1.08011,0.000578298,0.000578298,0.000578298
5,96.7319,2.01018,2.20323,1.07416,0.59096,0.17853,0.13748,0.07798,1.91241,1.98179,1.08253,0.000575064,0.000575064,0.000575064
6,110.818,1.94411,2.0297,1.05755,0.39658,0.23822,0.18151,0.10677,1.842,1.82003,1.0671,0.00057183,0.00057183,0.00057183
7,125.89,1.9395,1.90286,1.05836,0.48499,0.26964,0.19442,0.12039,1.81669,1.77337,1.06417,0.000568596,0.000568596,0.000568596
8,139.795,1.86099,1.8193,1.04109,0.55465,0.28956,0.24139,0.15328,1.77622,1.65029,1.05304,0.000565362,0.000565362,0.000565362
9,153.655,1.84548,1.76579,1.03151,0.58399,0.26079,0.23712,0.14854,1.75723,1.69735,1.04701,0.000562128,0.000562128,0.000562128
10,167.226,1.82639,1.69985,1.02932,0.57672,0.29268,0.27351,0.17789,1.74325,1.61296,1.03945,0.000558894,0.000558894,0.000558894
11,181.311,1.82664,1.67672,1.03084,0.53346,0.34357,0.30989,0.20487,1.71635,1.52106,1.02472,0.00055566,0.00055566,0.00055566
12,195.269,1.7895,1.6041,1.01356,0.49744,0.35039,0.33047,0.21656,1.70204,1.49887,1.02046,0.000552426,0.000552426,0.000552426
13,209.344,1.74381,1.5522,1.00803,0.68272,0.32311,0.32976,0.21558,1.70606,1.46638,1.02297,0.000549192,0.000549192,0.000549192
14,222.52,1.70876,1.51364,1.0003,0.6431,0.33302,0.35098,0.23761,1.67355,1.46277,1.01571,0.000545958,0.000545958,0.000545958
15,234.964,1.73318,1.53548,1.01175,0.46862,0.35357,0.36505,0.24076,1.74823,1.57138,1.02628,0.000542724,0.000542724,0.000542724
16,248.849,1.70511,1.49753,1.00394,0.61638,0.3583,0.38926,0.25727,1.68112,1.48179,1.01147,0.00053949,0.00053949,0.00053949
17,261.787,1.70989,1.46975,0.99986,0.56281,0.37195,0.38474,0.25277,1.65082,1.41668,1.00375,0.000536256,0.000536256,0.000536256
18,274.709,1.68951,1.43939,1.00022,0.4982,0.3977,0.39279,0.25509,1.6559,1.40678,1.00814,0.000533022,0.000533022,0.000533022
